iter	MultiClass
0	1.373945359
1	1.362870721
2	1.352748502
3	1.34355688
4	1.335262068
5	1.327012281
6	1.319765872
7	1.31331981
8	1.307004401
9	1.301600082
10	1.296658742
11	1.291843175
12	1.287616611
13	1.28350328
14	1.279577347
15	1.276176381
16	1.27261012
17	1.269188192
18	1.266237877
19	1.263703801
20	1.261191277
21	1.258873357
22	1.256797696
23	1.254502469
24	1.252351534
25	1.25049299
26	1.248635812
27	1.247073464
28	1.245311413
29	1.243985555
30	1.242601972
31	1.241255885
32	1.240009534
33	1.238613583
34	1.237522312
35	1.236453653
36	1.235425765
37	1.234383505
38	1.23337688
39	1.232594844
40	1.231641383
41	1.230783401
42	1.229752079
43	1.228746849
44	1.227826257
45	1.227094151
46	1.226396728
47	1.225622017
48	1.224925031
49	1.224279434
50	1.223476377
51	1.222915167
52	1.222387248
53	1.221529587
54	1.220946585
55	1.220503824
56	1.219787428
57	1.219306815
58	1.218849523
59	1.218068027
60	1.217322585
61	1.216885463
62	1.216411571
63	1.216011754
64	1.215293907
65	1.214713548
66	1.214170275
67	1.213560391
68	1.212964517
69	1.212521214
70	1.211956657
71	1.211582541
72	1.210892909
73	1.210397795
74	1.210131689
75	1.209752818
76	1.209540114
77	1.209206324
78	1.208753669
79	1.208466591
80	1.208141887
81	1.207871274
82	1.207149909
83	1.20661566
84	1.206393612
85	1.206137674
86	1.20563964
87	1.205408952
88	1.205092449
89	1.204597115
90	1.204398294
91	1.203928338
92	1.203690189
93	1.203374937
94	1.203055945
95	1.20277681
96	1.202563906
97	1.202360366
98	1.201839305
99	1.201674967
100	1.201467406
101	1.201215492
102	1.200905518
103	1.200698707
104	1.200326237
105	1.200054277
106	1.19961149
107	1.199446811
108	1.199223178
109	1.198950168
110	1.198498109
111	1.198363543
112	1.198228509
113	1.198010819
114	1.197599898
115	1.197474479
116	1.197309598
117	1.197221554
118	1.197019622
119	1.19686068
120	1.196642054
121	1.196210681
122	1.196095464
123	1.195809408
124	1.195631111
125	1.195482595
126	1.195352385
127	1.195225425
128	1.194893788
129	1.194519917
130	1.194241303
131	1.194052857
132	1.193637705
133	1.193525852
134	1.193309604
135	1.193084216
136	1.192926418
137	1.19272417
138	1.192593988
139	1.19241173
140	1.192273068
141	1.192193928
142	1.192024421
143	1.191621259
144	1.191490357
145	1.191353576
146	1.191271757
147	1.191037134
148	1.190985531
149	1.19093542
150	1.190652978
151	1.19022947
152	1.190051703
153	1.189948626
154	1.18988059
155	1.189757411
156	1.189612199
157	1.189503662
158	1.189206979
159	1.18890639
160	1.188803301
161	1.188695408
162	1.188052893
163	1.18797352
164	1.187798616
165	1.187670223
166	1.1876086
167	1.187505726
168	1.187400931
169	1.1872125
170	1.187018129
171	1.186742382
172	1.186650205
173	1.186393951
174	1.186372031
175	1.186254056
176	1.186112026
177	1.185884217
178	1.185746144
179	1.18561859
180	1.185472259
181	1.18539397
182	1.185335452
183	1.185266571
184	1.185182652
185	1.185007559
186	1.184828371
187	1.184563101
188	1.184335127
189	1.184256764
190	1.183967851
191	1.183870654
192	1.1835784
193	1.183510828
194	1.1833003
195	1.183094241
196	1.182957029
197	1.182810508
198	1.182621866
199	1.182517114
