iter	Passed	Remaining
0	61	12218
1	127	12645
2	191	12545
3	252	12371
4	320	12481
5	386	12483
6	447	12341
7	509	12230
8	568	12061
9	628	11948
10	693	11921
11	761	11924
12	821	11820
13	880	11703
14	940	11601
15	1004	11546
16	1071	11539
17	1141	11546
18	1206	11490
19	1270	11431
20	1330	11338
21	1392	11270
22	1450	11161
23	1511	11086
24	1573	11017
25	1637	10956
26	1699	10887
27	1755	10785
28	1818	10721
29	1873	10615
30	1930	10524
31	1989	10446
32	2049	10373
33	2116	10331
34	2176	10261
35	2247	10239
36	2301	10139
37	2355	10041
38	2412	9960
39	2473	9893
40	2535	9832
41	2593	9757
42	2654	9692
43	2711	9613
44	2766	9530
45	2819	9437
46	2877	9366
47	2932	9284
48	2985	9201
49	3039	9117
50	3096	9045
51	3155	8981
52	3215	8918
53	3278	8862
54	3337	8798
55	3387	8709
56	3442	8635
57	3494	8555
58	3546	8474
59	3614	8433
60	3671	8366
61	3727	8297
62	3780	8220
63	3830	8140
64	3887	8073
65	3943	8006
66	4008	7957
67	4067	7896
68	4133	7848
69	4190	7782
70	4252	7727
71	4304	7652
72	4363	7590
73	4420	7526
74	4473	7455
75	4539	7405
76	4594	7339
77	4647	7269
78	4706	7208
79	4759	7139
80	4814	7072
81	4877	7018
82	4942	6967
83	5006	6913
84	5063	6850
85	5116	6782
86	5182	6731
87	5237	6666
88	5289	6596
89	5358	6548
90	5411	6481
91	5471	6422
92	5530	6362
93	5589	6302
94	5647	6242
95	5703	6179
96	5759	6115
97	5816	6053
98	5873	5991
99	5920	5920
100	5969	5851
101	6024	5788
102	6078	5723
103	6127	5656
104	6186	5597
105	6247	5540
106	6313	5487
107	6371	5427
108	6426	5365
109	6484	5305
110	6546	5249
111	6599	5185
112	6648	5118
113	6708	5060
114	6762	4998
115	6811	4932
116	6865	4870
117	6915	4805
118	6974	4747
119	7053	4702
120	7139	4661
121	7221	4617
122	7287	4562
123	7355	4507
124	7415	4449
125	7472	4388
126	7538	4332
127	7600	4275
128	7696	4236
129	7774	4186
130	7844	4131
131	7903	4071
132	7990	4025
133	8058	3968
134	8132	3915
135	8211	3864
136	8274	3804
137	8337	3745
138	8400	3686
139	8459	3625
140	8517	3563
141	8578	3504
142	8636	3442
143	8702	3384
144	8760	3322
145	8822	3263
146	8873	3199
147	8941	3141
148	9002	3081
149	9059	3019
150	9124	2960
151	9185	2900
152	9245	2840
153	9326	2785
154	9395	2727
155	9469	2670
156	9541	2613
157	9608	2554
158	9690	2498
159	9761	2440
160	9827	2380
161	9890	2319
162	9960	2260
163	10019	2199
164	10088	2139
165	10156	2080
166	10219	2019
167	10274	1957
168	10328	1894
169	10397	1834
170	10465	1774
171	10530	1714
172	10583	1651
173	10643	1590
174	10692	1527
175	10747	1465
176	10802	1403
177	10851	1341
178	10907	1279
179	10960	1217
180	11019	1156
181	11076	1095
182	11136	1034
183	11194	973
184	11254	912
185	11309	851
186	11373	790
187	11440	730
188	11500	669
189	11562	608
190	11619	547
191	11682	486
192	11748	426
193	11807	365
194	11869	304
195	11931	243
196	11987	182
197	12041	121
198	12107	60
199	12161	0
